Fecha,Concepto,Importe,Referencia
2024-01-15,Pago factura proveedor textil,-1176.00,TRF-001-2024
2024-01-20,Cobro cliente - Arreglo vestido,350.00,ING-002-2024
2024-01-22,Pago factura materiales,-1290.00,TRF-002-2024
2024-01-25,Domiciliación luz,-85.50,DOM-003-2024
2024-02-01,Cobro servicio arreglos,425.00,ING-004-2024
2024-02-05,Pago alquiler local,-800.00,TRF-005-2024
2024-02-10,Comisión bancaria,-12.50,COM-006-2024
2024-02-15,Cobro venta vestido,2500.00,ING-007-2024
2024-02-20,Pago gestoría,-150.00,TRF-008-2024
2024-03-01,Cobro arreglo traje,180.00,ING-009-2024
2024-03-05,Pago teléfono e internet,-55.00,DOM-010-2024
2024-03-15,Cobro personalización vestido,750.00,ING-011-2024
