codigo,cuenta,tipo,descripcion
1000,Caja,Activo,Caja y efectivo
5720,Banco,Activo,Cuenta bancaria principal
600,Compras,Gasto,Compras mercaderias/materiales
620,Servicios exteriores,Gasto,Subcontratacion/confeccion
630,Suministros,Gasto,Luz/agua/telefono/internet
640,Sueldos y salarios,Gasto,Remuneraciones
641,Seguridad Social a cargo empresa,Gasto,Cotizaciones empresa
663,Gastos financieros,Gasto,Intereses y comisiones
672,Seguros,Gasto,Seguros varios
627,Gestoria,Gasto,Honorarios gestor
472,IVA Soportado,Impuesto,IVA soportado
477,IVA Repercutido,Impuesto,IVA repercutido
400,Proveedores,Pasivo,Proveedores
170,Prestamos,Pasivo,Prestamos a largo plazo
129,Resultado ejercicio,Patrimonio,Resultado del ejercicio
136,Retiros propietarios,Patrimonio,Retiros/retiradas
